sampleNr,Brightness,Kelvin,dUV
171.0,2200.0,3160.0,-0.0005
172.0,2230.0,3171.0,-0.0006
173.0,2260.0,3176.0,-0.0005
174.0,2290.0,3172.0,-0.0005
175.0,2330.0,3174.0,-0.0006
176.0,2360.0,3175.0,-0.0005
177.0,2420.0,3177.0,-0.0003
178.0,2420.0,3179.0,-0.0003
179.0,2490.0,3181.0,-0.0004
180.0,2480.0,3171.0,-0.0003
181.0,2560.0,3189.0,-0.0012
182.0,2570.0,3193.0,-0.0011
183.0,2630.0,3178.0,-0.0011
184.0,2730.0,3180.0,-0.001
185.0,2750.0,3187.0,-0.001
186.0,2820.0,3182.0,-0.0011
187.0,2880.0,3175.0,-0.0009
188.0,3020.0,3176.0,-0.001
189.0,3020.0,3178.0,-0.001
190.0,3120.0,3137.0,-0.0004
191.0,3120.0,3135.0,-0.0005
192.0,3250.0,3135.0,-0.0004
193.0,3250.0,3138.0,-0.0004
194.0,3310.0,3147.0,-0.0003
195.0,3390.0,3147.0,-0.0003
196.0,3520.0,3142.0,-0.0003
197.0,3600.0,3132.0,-0.0006
198.0,3660.0,3133.0,-0.0004
199.0,3670.0,3135.0,-0.0005
200.0,3730.0,3141.0,-0.0009
201.0,3810.0,3146.0,-0.0009
202.0,3880.0,3148.0,-0.0007
203.0,3950.0,3154.0,-0.0007
204.0,4020.0,3149.0,-0.0008
205.0,4000.0,3145.0,-0.0008
206.0,4150.0,3147.0,-0.0005
207.0,4230.0,3165.0,-0.0005
208.0,4300.0,3158.0,-0.0006
209.0,4380.0,3159.0,-0.0006
210.0,4520.0,3159.0,-0.0006
211.0,4520.0,3159.0,-0.0007
212.0,4660.0,3162.0,-0.0007
213.0,4660.0,3161.0,-0.0006
214.0,4730.0,3164.0,-0.0007
215.0,4860.0,3160.0,-0.0007
216.0,4880.0,3167.0,-0.0006
217.0,5010.0,3170.0,-0.0005
218.0,5010.0,3170.0,-0.0008
219.0,5230.0,3190.0,-0.0006
220.0,5230.0,3191.0,-0.0007
221.0,5500.0,3187.0,-0.0007
222.0,5640.0,3183.0,-0.0007
223.0,5640.0,3184.0,-0.0008
224.0,5780.0,3180.0,-0.0008
225.0,5950.0,3162.0,-0.0003
226.0,6160.0,3165.0,-0.0004
227.0,6320.0,3171.0,-0.0006
228.0,6450.0,3163.0,-0.0005
229.0,6580.0,3148.0,-0.0006
230.0,6710.0,3157.0,-0.0004
231.0,6860.0,3165.0,-0.0004
232.0,6880.0,3161.0,-0.0004
233.0,7040.0,3180.0,-0.0006
234.0,7330.0,3186.0,-0.0008
235.0,7320.0,3172.0,-0.0007
236.0,7610.0,3180.0,-0.0005
237.0,7770.0,3184.0,-0.0004
238.0,7920.0,3199.0,-0.0004
239.0,7910.0,3197.0,-0.0006
240.0,8160.0,3179.0,-0.0006
241.0,8360.0,3194.0,-0.0008
242.0,8380.0,3200.0,-0.0008
243.0,8560.0,3191.0,-0.001
244.0,8760.0,3189.0,-0.0008
245.0,8920.0,3180.0,-0.0008
246.0,8950.0,3182.0,-0.0009
247.0,9220.0,3187.0,-0.0011
248.0,9200.0,3191.0,-0.0011
249.0,9380.0,3190.0,-0.0009
250.0,9570.0,3193.0,-0.0009
251.0,9840.0,3199.0,-0.0011
252.0,9980.0,3199.0,-0.001
253.0,9970.0,3197.0,-0.001
254.0,10200.0,3196.0,-0.0008
