sampleNr,Brightness,Kelvin,dUV
1.0,62.7,3185.0,0.0044
2.0,62.5,3175.0,0.0046
3.0,62.9,3191.0,0.0044
4.0,62.3,3170.0,0.0044
5.0,62.6,3182.0,0.0047
6.0,66.4,2752.0,-0.0015
7.0,69.0,2891.0,0.0018
8.0,72.9,3081.0,0.006
9.0,73.3,3091.0,0.0056
10.0,77.0,2710.0,0.0007
11.0,77.0,2718.0,0.0004
12.0,77.0,2726.0,0.0003
13.0,77.5,2727.0,0.0053
14.0,90.0,3122.0,0.0056
15.0,90.6,3138.0,0.0051
16.0,90.5,3124.0,0.0055
17.0,90.3,3130.0,0.0003
18.0,94.7,2823.0,0.0005
19.0,94.4,2812.0,0.0064
20.0,102.0,3077.0,0.006
21.0,103.0,2915.0,0.0041
22.0,106.0,2794.0,0.002
23.0,105.0,2788.0,0.0025
24.0,106.0,2796.0,0.0021
25.0,108.0,2849.0,0.0033
26.0,119.0,3113.0,0.0058
27.0,119.0,3100.0,0.0064
28.0,120.0,3114.0,0.0058
29.0,123.0,2854.0,0.0024
30.0,123.0,2850.0,0.0025
31.0,130.0,3043.0,0.0072
32.0,130.0,3043.0,0.0072
33.0,130.0,3028.0,0.0065
34.0,134.0,2824.0,0.0034
35.0,134.0,2822.0,0.0036
36.0,149.0,3088.0,0.0064
37.0,149.0,3086.0,0.0064
38.0,149.0,3063.0,0.006
39.0,152.0,2880.0,0.0034
40.0,155.0,2783.0,0.002
41.0,160.0,2774.0,0.0024
42.0,166.0,2881.0,0.0038
43.0,171.0,2926.0,0.0031
44.0,172.0,2769.0,0.0006
45.0,176.0,2904.0,0.004
46.0,185.0,2815.0,0.0026
47.0,190.0,2781.0,0.0007
48.0,194.0,2816.0,0.0007
49.0,201.0,2930.0,0.0034
50.0,202.0,2949.0,0.002
51.0,206.0,2801.0,0.0015
52.0,206.0,2794.0,0.0
53.0,222.0,2909.0,0.0026
54.0,222.0,2910.0,0.0025
55.0,222.0,2909.0,0.0026
56.0,227.0,2784.0,0.0007
57.0,234.0,2893.0,0.0032
58.0,241.0,2941.0,0.0026
59.0,241.0,2944.0,0.0025
60.0,243.0,2889.0,0.0018
61.0,248.0,2862.0,0.0014
62.0,254.0,2898.0,0.0027
