sampleNr,Brightness,Kelvin,dUV
63.0,258.0,2856.0,0.0007
64.0,264.0,2858.0,0.0007
65.0,268.0,2950.0,0.0031
66.0,275.0,2845.0,0.0015
67.0,276.0,2847.0,0.0013
68.0,281.0,2764.0,0.0003
69.0,288.0,2814.0,0.0013
70.0,288.0,2809.0,0.0012
71.0,288.0,2811.0,0.0013
72.0,293.0,2718.0,-0.0002
73.0,311.0,2750.0,-0.0001
74.0,311.0,2758.0,-0.0002
75.0,322.0,2749.0,0.0003
76.0,334.0,2705.0,-0.0012
77.0,341.0,2780.0,0.0005
78.0,345.0,2698.0,-0.0007
79.0,365.0,2734.0,-0.0007
80.0,364.0,2731.0,-0.0007
81.0,380.0,2743.0,-0.0003
82.0,381.0,2739.0,0.0
83.0,391.0,2737.0,0.0003
84.0,409.0,2763.0,0.0002
85.0,410.0,2766.0,0.0002
86.0,428.0,2789.0,0.0002
87.0,432.0,2727.0,-0.0008
88.0,439.0,2781.0,0.0006
89.0,451.0,2748.0,-0.0006
90.0,462.0,2746.0,-0.0002
91.0,476.0,2823.0,0.0006
92.0,480.0,2765.0,-0.0002
93.0,492.0,2764.0,0.0002
94.0,499.0,2789.0,-0.0002
95.0,510.0,2780.0,0.0001
96.0,515.0,2735.0,-0.0005
97.0,528.0,2798.0,0.0002
98.0,533.0,2751.0,-0.0005
99.0,546.0,2751.0,0.0003
100.0,546.0,2747.0,0.0002
101.0,553.0,2749.0,0.0005
102.0,576.0,2764.0,0.0005
103.0,576.0,2764.0,0.0008
104.0,576.0,2778.0,0.0006
105.0,595.0,2778.0,0.0005
106.0,598.0,2737.0,-0.0001
107.0,606.0,2755.0,0.0
108.0,624.0,2794.0,0.0008
109.0,637.0,2777.0,0.0004
110.0,646.0,2768.0,0.0002
111.0,655.0,2800.0,0.0008
112.0,673.0,2799.0,0.0004
113.0,714.0,2788.0,0.0003
114.0,718.0,2789.0,0.0004
115.0,726.0,2765.0,0.0001
116.0,747.0,2763.0,0.0
117.0,765.0,2820.0,0.0008
118.0,812.0,2796.0,0.0004
119.0,815.0,2785.0,0.0004
120.0,820.0,2789.0,0.0002
121.0,837.0,2791.0,0.0001
122.0,855.0,2802.0,0.0
123.0,887.0,2795.0,0.0002
124.0,911.0,2832.0,0.0008
125.0,911.0,2831.0,0.0005
126.0,933.0,2812.0,0.0004
127.0,972.0,2803.0,0.0
128.0,984.0,2803.0,0.0002
129.0,983.0,2800.0,0.0003
130.0,1020.0,2794.0,-0.0001
131.0,1050.0,2825.0,0.0004
132.0,1050.0,2824.0,0.0005
133.0,1060.0,2821.0,0.0006
134.0,1070.0,2779.0,0.0009
135.0,1090.0,2793.0,0.0012
136.0,1120.0,2776.0,0.0007
137.0,1120.0,2788.0,0.0006
138.0,1130.0,2788.0,0.0006
139.0,1160.0,2797.0,0.0009
140.0,1190.0,2797.0,0.0011
141.0,1200.0,2806.0,0.0009
142.0,1220.0,2816.0,0.0009
143.0,1240.0,2788.0,0.0009
144.0,1240.0,2792.0,0.0009
145.0,1260.0,2801.0,0.0007
146.0,1300.0,2831.0,-0.0003
147.0,1320.0,2815.0,-0.0006
148.0,1370.0,2809.0,-0.0001
149.0,1420.0,2818.0,0.0001
150.0,1460.0,2805.0,-0.0004
151.0,1460.0,2817.0,-0.0002
152.0,1530.0,2831.0,0.0
153.0,1520.0,2817.0,0.0001
154.0,1560.0,2816.0,0.0
155.0,1610.0,2832.0,0.0001
156.0,1680.0,2832.0,-0.0002
157.0,1690.0,2824.0,0.0003
158.0,1710.0,2823.0,0.0002
159.0,1770.0,2840.0,0.0001
160.0,1790.0,2830.0,0.0002
161.0,1820.0,2819.0,0.0001
162.0,1850.0,2824.0,0.0001
163.0,1890.0,2840.0,0.0
164.0,1920.0,2835.0,0.0005
165.0,1960.0,2835.0,0.0002
166.0,2030.0,2853.0,0.0003
167.0,2030.0,2847.0,0.0005
168.0,2050.0,2848.0,0.0006
169.0,2090.0,2857.0,0.0004
170.0,2140.0,2859.0,0.0005
171.0,2190.0,2846.0,0.0005
172.0,2190.0,2846.0,0.0005
173.0,2250.0,2857.0,0.0003
174.0,2270.0,2857.0,0.0005
175.0,2310.0,2848.0,0.0003
176.0,2330.0,2861.0,0.0003
177.0,2400.0,2862.0,0.0004
178.0,2390.0,2854.0,0.0004
179.0,2470.0,2846.0,0.0005
180.0,2470.0,2858.0,0.0003
181.0,2510.0,2874.0,-0.0004
182.0,2550.0,2874.0,-0.0004
183.0,2610.0,2860.0,-0.0003
184.0,2670.0,2859.0,-0.0003
185.0,2720.0,2824.0,0.0003
186.0,2780.0,2826.0,0.0004
187.0,2910.0,2819.0,0.0003
188.0,2980.0,2819.0,0.0003
189.0,2980.0,2807.0,0.0002
190.0,3120.0,2812.0,0.0001
191.0,3120.0,2815.0,0.0002
192.0,3260.0,2808.0,0.0002
193.0,3260.0,2807.0,0.0001
194.0,3320.0,2807.0,0.0001
195.0,3390.0,2803.0,0.0001
196.0,3460.0,2804.0,0.0001
197.0,3520.0,2810.0,0.0003
198.0,3650.0,2809.0,0.0003
199.0,3650.0,2805.0,0.0002
200.0,3790.0,2810.0,-0.0002
201.0,3870.0,2807.0,-0.0002
202.0,3870.0,2807.0,-0.0002
203.0,3930.0,2812.0,-0.0002
204.0,4000.0,2805.0,-0.0002
205.0,4140.0,2807.0,-0.0001
206.0,4150.0,2808.0,-0.0001
207.0,4200.0,2800.0,-0.0002
208.0,4330.0,2808.0,-0.0001
209.0,4330.0,2811.0,-0.0001
210.0,4480.0,2814.0,0.0
211.0,4520.0,2815.0,0.0001
212.0,4540.0,2817.0,0.0001
213.0,4610.0,2821.0,0.0001
214.0,4700.0,2814.0,0.0
215.0,4740.0,2807.0,0.0
216.0,4880.0,2811.0,0.0
217.0,4880.0,2810.0,-0.0001
218.0,5030.0,2818.0,-0.0004
219.0,5150.0,2814.0,-0.0004
220.0,5160.0,2814.0,-0.0005
221.0,5390.0,2781.0,0.0003
222.0,5540.0,2778.0,0.0002
223.0,5690.0,2793.0,0.0
224.0,5690.0,2790.0,0.0001
225.0,5950.0,2786.0,0.0004
226.0,6100.0,2799.0,-0.0001
227.0,6280.0,2806.0,-0.0003
228.0,6410.0,2801.0,0.0
229.0,6390.0,2795.0,0.0
230.0,6720.0,2819.0,0.0
231.0,6850.0,2817.0,0.0003
232.0,6860.0,2818.0,0.0001
233.0,7010.0,2822.0,-0.0002
234.0,7130.0,2809.0,-0.0001
235.0,7280.0,2812.0,-0.0003
236.0,7530.0,2812.0,-0.0003
237.0,7560.0,2806.0,-0.0002
238.0,7870.0,2818.0,-0.0002
239.0,8010.0,2813.0,-0.0003
240.0,8050.0,2805.0,-0.0002
241.0,8140.0,2808.0,-0.0005
242.0,8310.0,2823.0,-0.0005
243.0,8430.0,2812.0,-0.0003
244.0,8600.0,2823.0,-0.0004
245.0,8820.0,2821.0,-0.0004
246.0,9020.0,2813.0,-0.0003
247.0,9040.0,2819.0,-0.0004
248.0,9340.0,2826.0,-0.0005
249.0,9460.0,2822.0,-0.0003
250.0,9490.0,2830.0,-0.0005
251.0,9790.0,2822.0,-0.0006
252.0,9910.0,2822.0,-0.0003
253.0,10100.0,2827.0,-0.0006
254.0,10100.0,2827.0,-0.0005
